dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
jores,jores_15869,jores_42812,2,2.03256557431867,2.03256557431867,0.3333333333333333,0.06470588235294117,1.1856287425149703
jores,jores_15869,jores_47839,2,0.5154839642146201,0.5154839642146201,0.013333333333333336,0.03529411764705881,1.1497005988023954
jores,jores_17655,jores_18925,2,-0.7502814476159203,0.7502814476159203,0.06,0.04117647058823526,1.1017964071856285
jores,jores_17655,jores_3304,2,-0.1853852911551903,0.1853852911551903,0.15,0.005882352941176505,1.125748502994012
jores,jores_17655,jores_42812,2,1.4142062270415199,1.4142062270415199,0.9333333333333332,0.07647058823529412,1.0778443113772456
jores,jores_17655,jores_47839,2,-0.10287538306253019,0.10287538306253019,0.9,0.10588235294117648,1.25748502994012
jores,jores_18925,jores_3304,2,0.56489615646073,0.56489615646073,0.15000000000000002,0.047058823529411764,1.101796407185629
jores,jores_18925,jores_42812,2,2.1644876746574404,2.1644876746574404,0.9933333333333333,0.035294117647058865,1.2095808383233533
jores,jores_18925,jores_47839,2,0.6474060645533901,0.6474060645533901,0.84,0.06470588235294122,1.2934131736526946
jores,jores_3304,jores_42812,2,1.5995915181967102,1.5995915181967102,0.9700000000000001,0.08235294117647063,1.1377245508982037
jores,jores_3304,jores_47839,2,0.08250990809266012,0.08250990809266012,0.8633333333333333,0.11176470588235299,1.3293413173652695
jores,jores_42812,jores_47839,2,-1.51708161010405,1.51708161010405,0.3333333333333333,0.02941176470588236,1.1017964071856288
jores,jores_13471,jores_46392,2,3.7755443543507914,3.7755443543507914,0.9466666666666667,0.011764705882352955,1.0778443113772456
jores,jores_14303,jores_3799,2,0.47031669472141013,0.47031669472141013,0.06666666666666665,0.10588235294117648,1.1616766467065869
jores,jores_14523,jores_6552,2,-1.543496362494099,1.543496362494099,0.6666666666666666,0.08823529411764708,1.2095808383233533
jores,jores_14644,jores_18963,2,0.70858649169727,0.70858649169727,0.33,0.07058823529411767,1.281437125748503
jores,jores_14740,jores_18960,2,1.0461740763924148,1.0461740763924148,0.2166666666666667,0.07058823529411767,1.1497005988023954
jores,jores_14740,jores_22498,2,1.2029655260302548,1.2029655260302548,0.7000000000000001,0.017647058823529405,1.1616766467065869
jores,jores_14740,jores_44101,2,2.302159541923715,2.302159541923715,0.26666666666666666,0.07647058823529412,1.221556886227545
jores,jores_14740,jores_8454,2,1.3959764786570452,1.3959764786570452,0.3466666666666667,0.07058823529411767,1.2455089820359282
jores,jores_18960,jores_22498,2,0.15679144963783997,0.15679144963783997,0.8166666666666668,0.05294117647058827,1.1736526946107784
jores,jores_18960,jores_44101,2,1.2559854655312999,1.2559854655312999,0.4833333333333334,0.00588235294117645,1.2215568862275448
