model,reference,sd_arrange,sd_null,sd_full,var_arrange,var_null,var_full,sf_gsi,gsi_naive,arrangement_share,spacer_share,p_perm,p_gpd,z_submitted
billboard,-0.5321589112281799,0.00028823795782473733,0.24362763435872428,0.30903853900574746,8.308112033097505e-08,0.05935442422322826,0.09550481859080688,0.0005416388821893583,0.6890670630663183,8.699154823479482e-07,0.6214809378104155,1.0,,0.27074479990771355
billboard,-0.2613861560821533,0.034231929200408885,0.28195749119170344,0.24756464085632732,0.0011718249767818066,0.07950002683911951,0.06128825140232232,0.13096305371907238,0.6696867972574931,0.01911989573808275,1.2971495355161513,1.0,,0.4374054267816112
billboard,-1.6466063261032104,0.006835834959100972,0.24940019478933056,0.25230936244775765,4.672863958806699e-05,0.062200457160956034,0.06366001437879394,0.004151468903486101,0.1887202018614345,0.0007340343863263871,0.9770726219263295,1.0,,1.22729063065529
billboard,0.39156603813171387,0.0720740846499255,0.26031926892471874,0.30380723842724305,0.005194673678124627,0.06776612177350004,0.0922988381207877,0.18406623054903812,0.5830648157553128,0.05628103000957142,0.7342034109337032,1.0,,0.42621176467927624
billboard,0.45406991243362427,0.032162258055969985,0.286224718268644,0.30625739581193906,0.001034410843258806,0.08192458934796461,0.09379359248951072,0.07083107066837742,0.705566405419463,0.01102858751651386,0.8734561410165256,1.0,,0.06534042017538558
billboard,1.363251805305481,0.0942803859129291,0.2247991688185826,0.23024049853025932,0.00888879116789084,0.05053466630152561,0.05301068716346235,0.069158453006268,0.16704145951083826,0.1676792292935498,0.9532920436533534,1.0,,0.06554722754011051
billboard,-0.37915414571762085,0.013080920601967229,0.2505452716694577,0.2754463551740716,0.0001711104837949707,0.06277293315592239,0.0758706945786808,0.034500270535639574,0.7658637468300459,0.0022552908569661587,0.8273673188904903,1.0,,0.0707928399474505
billboard,-0.7544260621070862,0.0606954091861555,0.24585527381641498,0.2903666279428859,0.003683932696274849,0.06044481566334438,0.08431277862292233,0.08045242898506885,0.99369077511244,0.043693645927039684,0.7169116787583976,1.0,,1.5918351818492167
billboard,-0.6257941722869873,0.04153814437656964,0.21543819964393565,0.2678245157892006,0.001725417438248744,0.046413617865820274,0.07172997125771974,0.06637668776103652,0.3228006727352764,0.02405434448104635,0.647060315959978,1.0,,0.7613041192408908
billboard,0.8320727348327637,0.06488691395376497,0.15101483650710584,0.2329837417048394,0.0042103116024433,0.022805480845267907,0.05428142389878732,0.07798226193147219,0.2063769340420829,0.07756450181361879,0.42013416758909666,1.0,,1.2741259218705094
billboard,0.02595597505569458,0.07920139255470897,0.19055421911479842,0.24863708832356057,0.00627286058260511,0.036310910422450604,0.06182040169001807,3.051374197454111,0.4883750074063131,0.10146910099450175,0.5873612825183827,1.0,,1.9432138143766267
billboard,0.5436224341392517,0.038329440901428286,0.2868478142243331,0.31774345198398934,0.0014691460398160835,0.0822816685252775,0.10096090127870173,0.07050746712121524,1.8570150788674247,0.01455163356516121,0.8149854793603678,1.0,,1.172386185170101
billboard,0.413854718208313,0.08989546757647035,0.22963829426263566,0.2130680535006577,0.008081195090792232,0.052733746191852844,0.04539799542255913,0.21721503615000864,0.656522947431015,0.1780077515664168,1.1615875481067703,1.0,,0.4191833092790221
