seq_id,z_census,z_at_100_mean,z_at_100_sd,z_at_100_max,z_at_100_min,z_big,p_parametric,p_empirical,p_gpd,n_exceed,shuffle_skew,shuffle_kurtosis,shapiro_W,shapiro_p
peak87146,0.8783245408427406,0.5033509600775739,0.07944167793837559,0.5714852286333577,0.32113823029472477,0.5022157728465794,0.6155157490846124,0.6063936063936064,0.606,606,-0.13451750622240466,0.056528916421299424,0.9981138466875998,0.33363380407139914
peak19255,0.8726063025137808,0.12212067118841921,0.09717448184447423,0.3021182715539921,0.009329128423352118,0.07761782899539103,0.9381320596792262,0.951048951048951,0.951,951,0.0695338153033102,0.04783364559551728,0.9984120713337417,0.49852905373082373
peak68821,0.8626499227171158,0.23944508211700305,0.0902354752665664,0.37683717955936535,0.07849726023632835,0.23609098495570666,0.8133620691906338,0.8181818181818182,0.818,818,0.047434324949755476,0.11854435070187286,0.997965807528738,0.26861146950363746
ENSG00000108010,0.8562968733729823,0.5169709046243502,0.1144687979251163,0.7931471925771744,0.3781137659137412,0.5082173391834732,0.6113009322423784,0.6223776223776224,0.622,622,0.11668048130387626,0.02941611747365691,0.9983985453160383,0.49015032383808005
ENSG00000102452,0.8551916625073259,0.721424860484105,0.12442173409265199,0.9166675009378362,0.49594094442041536,0.7177557502171619,0.472907901637315,0.4675324675324675,0.467,467,-0.06211702625810571,0.1751746431210024,0.998785465113806,0.7454258512638949
peak8169,0.8478161819756073,0.741290267607911,0.1192592896204682,0.9029847501071626,0.5498893772477005,0.7356300542995472,0.4619558671887485,0.4785214785214785,0.478,478,-0.045872361346343316,-0.231944189248376,0.9984640182381073,0.5313565156941634
peak59037,0.847335871889525,0.7786026309898848,0.09433743828478909,0.9503343837268801,0.6516105035469502,0.7769415042933558,0.43719328278416736,0.4165834165834166,0.416,416,-0.01693163784317428,0.19776598156226033,0.9982470035539341,0.40183691251486586
ENSG00000168374,0.8432859779222751,0.6843516300681796,0.1489266702395253,0.9217530716528074,0.4874826320292125,0.6690291686105472,0.503476871452472,0.4985014985014985,0.498,498,0.11135223551568466,-0.00777598632632337,0.9974086363430718,0.11189299300804179
peak67514,0.8367345584116543,0.2094426068813061,0.05322406360713018,0.2871401750704029,0.1118382327382186,0.2100300509030139,0.8336442188674953,0.8251748251748252,0.825,825,-0.08427504097640469,0.036981257703401216,0.9984847117210031,0.5446955386621959
peak47829,0.8363722798097536,1.3653378872816533,0.15538378829799548,1.6001177116010978,1.1007430055856047,1.3488200063029747,0.17739478705348666,0.17782217782217782,0.177,177,0.03204401109567981,0.0004822242359119322,0.9991392596342676,0.9348415776945899
peak48943,0.8287140111068455,0.9830092345521209,0.13041348452123436,1.1552192893922457,0.832070210495219,0.9763919825269112,0.32887025306023254,0.31868131868131866,0.318,318,-0.03812212460229499,0.11173888071315874,0.9989692452709658,0.8568944262373799
peak37570,0.8274236184494532,0.3568490038195087,0.09945044444302968,0.5763502571235527,0.22110676276941238,0.3567770554265204,0.7212587144632812,0.7292707292707292,0.729,729,0.02381872751589336,-0.28069656797688447,0.9979658568668232,0.26863127871898484
