model,dataset,head,n,probe_r,median_sf_gsi,median_arrangement_share,median_spacer_share,frac_sig,n_survive_bh,pi0
hyenadna,vaishnav,mean_mlp,300,0.4822239577770233,1.1193063984285185,0.9173353743025083,0.2226592794402914,0.8833333333333333,264,0.11333333333333333
hyenadna,vaishnav,transformer,300,0.5451356172561646,0.3792047393145963,0.15000712757313076,0.6526999804985918,0.06,10,1.0
nt,agarwal,attn_pos,300,0.34391868114471436,0.3888564415537381,0.19886608942117812,0.7378036687841593,0.04,4,1.0
nt,agarwal,cnn1d,300,0.32317212224006653,0.27483573281720464,0.3107155956049641,0.7639428975633048,0.09666666666666666,15,1.0
nt,agarwal,mean_linear,300,0.2900784909725189,0.4350948072287396,0.1976815757891766,0.7526479528763357,0.023333333333333334,0,1.0
nt,agarwal,mean_mlp,300,0.33184924721717834,0.37625596086758784,0.18182398458505988,0.7528713162490837,0.02,0,1.0
nt,agarwal,transformer,300,0.33354541659355164,0.38481368604445076,0.20562009254193875,0.7291248547023719,0.05,4,1.0
nt,inoue,attn_pos,300,0.19087153673171997,0.30182881726208965,0.20430394860015544,0.7552123113587608,0.02666666666666667,0,1.0
nt,inoue,cnn1d,300,0.21980775892734528,0.39227202728820587,0.3831785113620858,0.8104151373322824,0.11666666666666667,21,1.0
nt,inoue,mean_linear,300,0.22509485483169556,0.44498508193341135,0.2021985840152157,0.6978164328501358,0.02,0,1.0
nt,inoue,mean_mlp,300,0.27940261363983154,0.43610145215235935,0.1681456949950348,0.6201540529078289,0.06666666666666667,10,1.0
nt,inoue,transformer,300,0.22122272849082947,0.016815627008174967,0.26359089265780633,0.726742315802198,0.04,3,1.0
nt,jores,attn_pos,300,0.5974105596542358,0.19065840147047097,0.10518636346245633,0.8327803207147804,0.043333333333333335,4,1.0
nt,jores,cnn1d,300,0.603161096572876,0.15044339509078392,0.13899354961711843,0.804826613699459,0.056666666666666664,10,1.0
nt,jores,mean_linear,300,0.5590784549713135,0.22367169873350606,0.11887277564714813,0.8289257817506879,0.023333333333333334,3,1.0
nt,jores,mean_mlp,300,0.5704326629638672,0.14062795245648868,0.14107427425537558,0.7619494610396544,0.05333333333333334,9,1.0
nt,jores,transformer,300,0.5999733209609985,0.12438181112679567,0.08314667121052008,0.8304354089934076,0.04,5,1.0
nt,klein,attn_pos,300,0.2507931888103485,0.5752189965207938,0.24852417064299892,0.6734449957869592,0.1,17,1.0
nt,klein,cnn1d,300,0.2545504570007324,0.23699527169589002,0.38831622564497165,0.741885356436004,0.18333333333333332,32,1.0
nt,klein,mean_linear,300,0.19662420451641083,0.520670970132024,0.23446219214063746,0.7150964492612379,0.043333333333333335,0,1.0
nt,klein,mean_mlp,300,0.25399619340896606,0.3345007400436035,0.19784818168824264,0.6729703934242013,0.03666666666666667,0,1.0
nt,klein,transformer,300,0.18108269572257996,0.4879512470779868,0.21775137833887714,0.6795555437629888,0.12,26,1.0
nt,vaishnav,attn_pos,300,0.536096453666687,0.33978940196703106,0.14411631797014707,0.6612644917181193,0.043333333333333335,5,1.0
nt,vaishnav,cnn1d,300,0.5331039428710938,0.17941078991124176,0.15797838250556445,0.7234442493253506,0.043333333333333335,3,1.0
nt,vaishnav,mean_linear,300,0.5242694616317749,0.46514410685786994,0.16186620552944847,0.580809413628832,0.05,3,1.0
nt,vaishnav,mean_mlp,300,0.5556237697601318,0.43849442916873815,0.19021829258100928,0.617728773610059,0.043333333333333335,3,1.0
nt,vaishnav,transformer,300,0.5274393558502197,0.3109977415117523,0.11412118466399836,0.7510144430691901,0.04,7,1.0
