head,val_r,test_r,test_rho,test_r2,n_params,perm_invariant,model,dataset
transformer,0.3506583571434021,0.29353588819503784,0.29168611293330077,-0.006801128387451172,743617,False,dnabert2,klein
mean_linear,0.528297483921051,0.5032069683074951,0.5293260426974122,0.23446619510650635,2305,True,dnabert2,vaishnav
mean_mlp,0.5342140197753906,0.5179094672203064,0.536532301387526,0.26715344190597534,231425,True,dnabert2,vaishnav
attn_pos,0.5273544788360596,0.5135148763656616,0.5311249533002809,0.24330610036849976,264706,False,dnabert2,vaishnav
cnn1d,0.5216305255889893,0.5079671144485474,0.5289588192067642,0.2523043751716614,777985,False,dnabert2,vaishnav
transformer,0.5272705554962158,0.49556732177734375,0.5016105016800064,0.1322612166404724,743617,False,dnabert2,vaishnav
mean_linear,0.27380311489105225,0.2371295541524887,0.23787330464433704,0.05520927906036377,769,True,hyenadna,agarwal
mean_mlp,0.2757800221443176,0.2246016561985016,0.2237383020317231,0.048570990562438965,99329,True,hyenadna,agarwal
attn_pos,0.2943233847618103,0.2618214190006256,0.2666510307028658,0.014667630195617676,132610,False,hyenadna,agarwal
cnn1d,0.4550850987434387,0.42104583978652954,0.38662189808864866,0.16133785247802734,678657,False,hyenadna,agarwal
transformer,0.2950518727302551,0.2355414479970932,0.24502633868521562,0.052210211753845215,644289,False,hyenadna,agarwal
mean_linear,0.1697145700454712,0.23014190793037415,0.14350620503854863,0.03867870569229126,769,True,hyenadna,inoue
mean_mlp,0.16232360899448395,0.2508097290992737,0.16876606192618918,0.05111885070800781,99329,True,hyenadna,inoue
attn_pos,0.15785649418830872,0.23255041241645813,0.21203987656797837,0.04437476396560669,132610,False,hyenadna,inoue
cnn1d,0.2258012443780899,0.32571256160736084,0.2588138775042274,0.08469325304031372,678657,False,hyenadna,inoue
transformer,0.19830867648124695,0.06422899663448334,0.025217343536537595,-0.022553563117980957,644289,False,hyenadna,inoue
mean_linear,0.5298112034797668,0.5226589441299438,0.5449309327108048,0.2713860273361206,769,True,hyenadna,jores
mean_mlp,0.5328114032745361,0.5326621532440186,0.5539912015201082,0.2814371585845947,99329,True,hyenadna,jores
attn_pos,0.602423906326294,0.5946530103683472,0.6076319028515794,0.3439639210700989,132610,False,hyenadna,jores
cnn1d,0.6654582023620605,0.64166659116745,0.6408666366586719,0.2738504409790039,678657,False,hyenadna,jores
transformer,0.6150771379470825,0.6119555830955505,0.6273696807246145,0.3308687210083008,644289,False,hyenadna,jores
mean_linear,0.37161481380462646,0.22265654802322388,0.23085386850319306,0.03725743293762207,769,True,hyenadna,klein
mean_mlp,0.3588213324546814,0.20809020102024078,0.22718753335113184,0.03326457738876343,99329,True,hyenadna,klein
attn_pos,0.38079461455345154,0.2584537863731384,0.24143978689932794,0.056326091289520264,132610,False,hyenadna,klein
cnn1d,0.3955443501472473,0.31560003757476807,0.3009006242887574,-0.16782712936401367,678657,False,hyenadna,klein
transformer,0.38881537318229675,0.24213209748268127,0.23071002300915283,0.048767685890197754,644289,False,hyenadna,klein
mean_linear,0.44929254055023193,0.4536517858505249,0.47458759803110817,0.1967463493347168,769,True,hyenadna,vaishnav
mean_mlp,0.4800684154033661,0.4822239577770233,0.5011920065510442,0.22269928455352783,99329,True,hyenadna,vaishnav
attn_pos,0.5577338337898254,0.5613681077957153,0.5798820155807844,0.30658262968063354,132610,False,hyenadna,vaishnav
cnn1d,0.5983215570449829,0.5972881317138672,0.6260952749989452,0.2031996250152588,678657,False,hyenadna,vaishnav
transformer,0.5416195392608643,0.5451356172561646,0.5622464102557267,0.2964928150177002,644289,False,hyenadna,vaishnav
mean_linear,0.3716932237148285,0.2900784909725189,0.2891005717406271,0.061832964420318604,3073,True,nt,agarwal
mean_mlp,0.37493255734443665,0.33184924721717834,0.3192268108177582,0.08073186874389648,297473,True,nt,agarwal
